Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Orientation,09/03/2024,,09/03/2024,,True,,,False
Lecture 1,09/05/2024,10:00 AM,09/05/2024,11:00 AM,False,,West Village 325,False
Lecture 2,09/10/2024,10:00 AM,09/10/2024,11:00 AM,False,,,False
CS5010,09/09/2024,10:30 AM,09/09/2024,11:30 AM,False,,,False
CS5010,09/11/2024,10:30 AM,09/11/2024,11:30 AM,False,,,False
CS5010,09/16/2024,10:30 AM,09/16/2024,11:30 AM,False,,,False
CS5010,09/18/2024,10:30 AM,09/18/2024,11:30 AM,False,,,False
CS5010 (Module 2),09/23/2024,10:30 AM,09/23/2024,11:30 AM,False,,,False
CS5010 (Module 2),09/25/2024,10:30 AM,09/25/2024,11:30 AM,False,,,False
Office Hours,09/10/2024,03:00 PM,09/10/2024,04:00 PM,False,,,False
Office Hours,09/12/2024,03:00 PM,09/12/2024,04:00 PM,False,,,False
Office Hours,09/17/2024,03:00 PM,09/17/2024,04:00 PM,False,,,False
Office Hours,09/19/2024,03:00 PM,09/19/2024,04:00 PM,False,,,False
Office Hours,09/24/2024,03:00 PM,09/24/2024,04:00 PM,False,,,False
Office Hours,09/26/2024,03:00 PM,09/26/2024,04:00 PM,False,,,False
Office Hours,10/01/2024,03:00 PM,10/01/2024,04:00 PM,False,,,False
Office Hours,10/03/2024,03:00 PM,10/03/2024,04:00 PM,False,,,False
Office Hours,10/08/2024,03:00 PM,10/08/2024,04:00 PM,False,,,False
Office Hours,10/10/2024,03:00 PM,10/10/2024,04:00 PM,False,,,False
Office Hours,10/15/2024,03:00 PM,10/15/2024,04:00 PM,False,,,False
Office Hours,10/17/2024,03:00 PM,10/17/2024,04:00 PM,False,,,False
Office Hours,10/22/2024,03:00 PM,10/22/2024,04:00 PM,False,,,False
Office Hours,10/24/2024,03:00 PM,10/24/2024,04:00 PM,False,,,False
Office Hours,10/29/2024,03:00 PM,10/29/2024,04:00 PM,False,,,False
Office Hours,10/31/2024,03:00 PM,10/31/2024,04:00 PM,False,,,False
Office Hours,11/05/2024,03:00 PM,11/05/2024,04:00 PM,False,,,False
Office Hours,11/07/2024,03:00 PM,11/07/2024,04:00 PM,False,,,False
Office Hours,11/12/2024,03:00 PM,11/12/2024,04:00 PM,False,,,False
Office Hours,11/14/2024,03:00 PM,11/14/2024,04:00 PM,False,,,False
Office Hours,11/19/2024,03:00 PM,11/19/2024,04:00 PM,False,,,False
Office Hours,11/21/2024,03:00 PM,11/21/2024,04:00 PM,False,,,False
Office Hours,11/26/2024,03:00 PM,11/26/2024,04:00 PM,False,,,False
Office Hours,11/28/2024,03:00 PM,11/28/2024,04:00 PM,False,,,False
Office Hours,12/03/2024,03:00 PM,12/03/2024,04:00 PM,False,,,False
Office Hours,12/05/2024,03:00 PM,12/05/2024,04:00 PM,False,,,False
Seminar Day,09/17/2024,,09/17/2024,,True,,,False
Seminar Day,09/19/2024,,09/19/2024,,True,,,False
Seminar Day,09/24/2024,,09/24/2024,,True,,,False
